idacr,idnum,year,totimp,totexp,tottrade
USA,2,1948,11016.10,7250.14,18266.24
USA,2,1949,11406.80,6778.44,18185.24
USA,2,1950,9561.22,8596.01,18157.22
USA,2,1951,13996.98,10728.14,24725.11
USA,2,1952,14006.75,10497.61,24504.36
USA,2,1953,14204.55,10772.22,24976.77
USA,2,1954,13813.87,10025.43,23839.30
USA,2,1955,14480.65,11192.05,25672.70
USA,2,1956,17811.99,12623.94,30435.93
USA,2,1957,19789.86,13327.22,33117.08
USA,2,1958,17072.88,13475.42,30548.30
USA,2,1959,16933.91,15852.33,32786.24
USA,2,1960,19592.92,15263.85,34856.77
USA,2,1961,20110.75,14907.14,35017.89
USA,2,1962,20957.22,16805.13,37762.35
USA,2,1963,22438.11,17635.48,40073.59
USA,2,1964,25502.41,19239.87,44742.27
USA,2,1965,26652.60,22141.47,48794.08
USA,2,1966,29287.99,26718.85,56006.83
USA,2,1967,30690.51,27639.79,58330.30
USA,2,1968,33602.95,33975.74,67578.69
USA,2,1969,36912.94,36780.09,73693.03
USA,2,1970,41975.26,40825.55,82800.81
USA,2,1971,43077.68,46705.49,89783.18
USA,2,1972,48736.30,56833.07,105569.37
USA,2,1973,69329.35,71138.24,140467.59
USA,2,1974,96735.93,105145.98,201881.91
USA,2,1975,105772.70,101422.92,207195.62
USA,2,1976,113246.51,127779.73,241026.24
USA,2,1977,119270.49,155146.22,274416.71
USA,2,1978,140801.16,179883.60,320684.77
USA,2,1979,178324.51,214731.94,393056.44
USA,2,1980,216303.56,247956.06,464259.62
USA,2,1981,229380.76,263678.56,493059.32
USA,2,1982,208131.54,245405.72,453537.26
USA,2,1983,196472.05,259490.59,455962.64
USA,2,1984,213111.85,328516.49,541628.33
USA,2,1985,208814.41,348303.98,557118.39
USA,2,1986,212984.19,374269.87,587254.05
USA,2,1987,247537.49,409660.91,657198.40
USA,2,1988,313118.80,445118.54,758237.34
USA,2,1989,356030.78,480126.00,836156.78
USA,2,1990,384901.64,503520.19,888421.83
USA,2,1991,413506.61,496897.23,910403.84
USA,2,1992,436381.94,538796.15,975178.09
USA,2,1993,453832.18,585682.22,1039514.41
USA,2,1994,499835.92,673770.85,1173606.77
USA,2,1995,568054.06,754536.54,1322590.60
USA,2,1996,608167.41,801108.03,1409275.43
USA,2,1997,685652.72,897180.79,1582833.51
USA,2,1998,677593.90,943838.64,1621432.53
USA,2,1999,664713.86,1046369.82,1711083.68
USA,2,2000,769531.11,1235811.98,2005343.09
CAN,20,1948,3003.40,2566.28,5569.68
CAN,20,1949,2825.63,2584.06,5409.69
CAN,20,1950,2813.97,2785.50,5599.47
CAN,20,1951,5467.98,3703.90,9171.88
CAN,20,1952,4362.03,3991.98,8354.01
CAN,20,1953,4157.02,4349.93,8506.95
CAN,20,1954,3963.13,4071.91,8035.04
CAN,20,1955,4323.67,4619.70,8943.37
CAN,20,1956,4860.16,5626.17,10486.33
CAN,20,1957,5058.06,5702.59,10760.65
CAN,20,1958,5006.44,5212.01,10218.45
CAN,20,1959,5313.36,5731.69,11045.05
CAN,20,1960,5387.29,5389.58,10776.87
CAN,20,1961,5757.52,5599.05,11356.57
CAN,20,1962,5881.59,5739.58,11621.16
CAN,20,1963,6411.88,5920.36,12332.25
CAN,20,1964,7624.83,6769.24,14394.07
CAN,20,1965,8047.27,7837.62,15884.89
CAN,20,1966,9524.48,9043.41,18567.89
CAN,20,1967,10509.17,10117.33,20626.50
CAN,20,1968,12505.37,11304.64,23810.00
CAN,20,1969,13695.06,12974.50,26669.55
CAN,20,1970,15954.20,13139.65,29093.85
CAN,20,1971,17574.87,15322.40,32897.27
CAN,20,1972,20001.85,18707.27,38709.12
CAN,20,1973,25164.36,23118.14,48282.50
CAN,20,1974,32329.84,31898.54,64228.38
CAN,20,1975,31831.96,33726.07,65558.03
CAN,20,1976,38624.37,37749.64,76374.01
CAN,20,1977,41617.07,39369.15,80986.22
CAN,20,1978,46040.95,43379.50,89420.45
CAN,20,1979,54926.61,52873.33,107799.94
CAN,20,1980,64133.13,58060.86,122193.99
CAN,20,1981,69024.63,64894.03,133918.66
CAN,20,1982,67805.31,54008.54,121813.85
CAN,20,1983,73469.57,60778.48,134248.05
CAN,20,1984,87069.27,72684.94,159754.22
CAN,20,1985,86891.39,75549.05,162440.45
CAN,20,1986,86077.03,79901.18,165978.21
CAN,20,1987,93824.70,86616.68,180441.39
CAN,20,1988,111144.46,104810.63,215955.10
CAN,20,1989,115144.44,111227.35,226371.79
CAN,20,1990,126001.65,113853.66,239855.32
CAN,20,1991,125488.77,114080.85,239569.63
CAN,20,1992,133089.02,118043.72,251132.75
CAN,20,1993,140906.13,127021.99,267928.12
CAN,20,1994,160916.78,143181.86,304098.64
CAN,20,1995,189268.50,158761.78,348030.28
CAN,20,1996,199580.10,165308.63,364888.73
CAN,20,1997,212952.82,192342.23,405295.05
CAN,20,1998,211310.98,195670.09,406981.07
CAN,20,1999,237280.71,210423.50,447704.21
CAN,20,2000,275177.30,234370.66,509547.95
BHM,31,1973,524.46,756.06,1280.52
BHM,31,1974,1449.28,1878.81,3328.09
BHM,31,1975,2497.07,2850.33,5347.40
BHM,31,1976,3063.11,3160.11,6223.21
BHM,31,1977,3366.23,3423.43,6789.66
BHM,31,1978,3142.86,3126.60,6269.46
BHM,31,1979,3923.11,3679.91,7603.03
BHM,31,1980,4651.82,2616.66,7268.48
BHM,31,1981,6166.31,2552.70,8719.01
BHM,31,1982,4619.62,1683.60,6303.22
BHM,31,1983,4048.15,3293.26,7341.41
BHM,31,1984,3793.13,4104.61,7897.74
BHM,31,1985,2760.32,3226.89,5987.20
BHM,31,1986,2730.79,3295.51,6026.30
BHM,31,1987,2736.49,3046.65,5783.15
BHM,31,1988,2286.03,1882.69,4168.72
BHM,31,1989,3306.90,2994.83,6301.73
BHM,31,1990,1014.09,2273.25,3287.34
BHM,31,1991,871.40,2166.73,3038.13
BHM,31,1992,1076.43,2436.67,3513.10
BHM,31,1993,823.92,3398.95,4222.87
BHM,31,1994,783.20,2807.39,3590.59
BHM,31,1995,800.58,2239.99,3040.57
BHM,31,1996,942.78,3604.97,4547.75
BHM,31,1997,946.91,2436.74,3383.65
BHM,31,1998,1122.55,3169.32,4291.87
BHM,31,1999,2017.07,3588.41,5605.47
BHM,31,2000,1677.35,4041.27,5718.61
CUB,40,1948,636.41,566.74,1203.15
CUB,40,1949,568.32,493.03,1061.35
CUB,40,1950,629.71,554.25,1183.96
CUB,40,1951,749.30,695.39,1444.69
CUB,40,1952,649.71,663.01,1312.72
CUB,40,1953,620.21,518.34,1138.55
CUB,40,1954,526.11,523.96,1050.07
CUB,40,1955,583.10,616.62,1199.72
CUB,40,1956,665.40,689.69,1355.09
CUB,40,1957,800.20,834.63,1634.83
CUB,40,1958,774.77,798.31,1573.08
CUB,40,1959,645.31,689.50,1334.81
CUB,40,1960,655.00,494.25,1149.26
CUB,40,1961,589.92,651.14,1241.06
CUB,40,1962,568.74,675.45,1244.19
CUB,40,1963,558.98,775.35,1334.33
CUB,40,1964,692.33,883.42,1575.75
CUB,40,1965,696.31,781.86,1478.17
CUB,40,1966,640.59,921.54,1562.13
CUB,40,1967,732.03,978.79,1710.82
CUB,40,1968,658.70,1044.69,1703.39
CUB,40,1969,661.98,1135.64,1797.61
CUB,40,1970,1075.46,1249.02,2324.47
CUB,40,1971,923.06,1260.33,2183.39
CUB,40,1972,750.36,1263.41,2013.77
CUB,40,1973,1244.88,1510.53,2755.41
CUB,40,1974,2321.47,2422.89,4744.36
CUB,40,1975,3596.94,3614.65,7211.59
CUB,40,1976,3171.54,3520.40,6691.94
CUB,40,1977,3352.84,3997.85,7350.69
CUB,40,1978,4352.50,4458.22,8810.72
CUB,40,1979,4804.35,4971.20,9775.55
